Exchange,Symbol,Name,Symbol_Name,Sector,Industry
NASDAQ,AIHS,Senmiao Technology Limited Common Stock,AIHS | Senmiao Technology Limited Common Stock,Finance,Finance: Consumer Services
NASDAQ,AIMAU,Aimfinity Investment Corp. I Unit,AIMAU | Aimfinity Investment Corp. I Unit,Finance,Blank Checks
NASDAQ,AIMAW,Aimfinity Investment Corp. I Warrant,AIMAW | Aimfinity Investment Corp. I Warrant,Finance,Blank Checks
NASDAQ,AIMBU,Aimfinity Investment Corp. I Subunit,AIMBU | Aimfinity Investment Corp. I Subunit,Finance,Blank Checks
NASDAQ,AIMD,Ainos Inc. Common Stock,AIMD | Ainos Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,AIMDW,Ainos Inc. Warrants,AIMDW | Ainos Inc. Warrants,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,AIOT,PowerFleet Inc. Common Stock,AIOT | PowerFleet Inc. Common Stock,Telecommunications,Telecommunications Equipment
NASDAQ,AIP,Arteris Inc. Common Stock,AIP | Arteris Inc. Common Stock,Technology,Semiconductors
NASDAQ,AIRE,reAlpha Tech Corp. Common Stock,AIRE | reAlpha Tech Corp. Common Stock,Finance,Real Estate
NASDAQ,AIRG,Airgain Inc. Common Stock,AIRG | Airgain Inc. Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment
NASDAQ,AIRJ,AirJoule Technologies Corporation Class A Common Stock,AIRJ | AirJoule Technologies Corporation Class A Common Stock,Industrials,Industrial Machinery/Components
NASDAQ,AIRJW,AirJoule Technologies Corporation Warrant,AIRJW | AirJoule Technologies Corporation Warrant,Industrials,Industrial Machinery/Components
NASDAQ,AIRS,AirSculpt Technologies Inc. Common Stock,AIRS | AirSculpt Technologies Inc. Common Stock,Health Care,Medical/Nursing Services
NASDAQ,AIRT,Air T Inc. Common Stock,AIRT | Air T Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services
NASDAQ,AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,AIRTP | Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,Consumer Discretionary,Air Freight/Delivery Services
NASDAQ,AISP,Airship AI Holdings Inc. Class A Common Stock,AISP | Airship AI Holdings Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
NASDAQ,AISPW,Airship AI Holdings Inc. Warrants,AISPW | Airship AI Holdings Inc. Warrants,Technology,Computer Software: Prepackaged Software
NASDAQ,AITR,AI TRANSPORTATION ACQUISITION CORP Ordinary shares,AITR | AI TRANSPORTATION ACQUISITION CORP Ordinary shares,,
NASDAQ,AITRR,AI TRANSPORTATION ACQUISITION CORP Right,AITRR | AI TRANSPORTATION ACQUISITION CORP Right,,
NASDAQ,AIXI,XIAO-I Corporation American Depositary Shares,AIXI | XIAO-I Corporation American Depositary Shares,Technology,Computer Software: Prepackaged Software
NASDAQ,AKAM,Akamai Technologies Inc. Common Stock,AKAM | Akamai Technologies Inc. Common Stock,Consumer Discretionary,Business Services
NASDAQ,AKAN,Akanda Corp. Common Shares,AKAN | Akanda Corp. Common Shares,Health Care, Medicinal Chemicals and Botanical Products 
NASDAQ,AKBA,Akebia Therapeutics Inc. Common Stock,AKBA | Akebia Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,AKRO,Akero Therapeutics Inc. Common Stock,AKRO | Akero Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,AKTX,Akari Therapeutics plc ADS,AKTX | Akari Therapeutics plc ADS,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,AKYA,Akoya BioSciences Inc. Common Stock,AKYA | Akoya BioSciences Inc. Common Stock,Industrials,Biotechnology: Laboratory Analytical Instruments
NASDAQ,ALAB,Astera Labs Inc. Common Stock,ALAB | Astera Labs Inc. Common Stock,Technology,Semiconductors
NASDAQ,ALAR,Alarum Technologies Ltd. American Depositary Share,ALAR | Alarum Technologies Ltd. American Depositary Share,Technology,Computer Software: Prepackaged Software
NASDAQ,ALBT,Avalon GloboCare Corp. Common Stock,ALBT | Avalon GloboCare Corp. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,ALCO,Alico Inc. Common Stock,ALCO | Alico Inc. Common Stock,,
NASDAQ,ALCY,Alchemy Investments Acquisition Corp 1 Class A Ordinary Shares,ALCY | Alchemy Investments Acquisition Corp 1 Class A Ordinary Shares,Finance,Blank Checks
NASDAQ,ALCYU,Alchemy Investments Acquisition Corp 1 Units,ALCYU | Alchemy Investments Acquisition Corp 1 Units,Finance,Blank Checks
NASDAQ,ALDF,Aldel Financial II Inc. Class A Ordinary Shares,ALDF | Aldel Financial II Inc. Class A Ordinary Shares,,
NASDAQ,ALDFU,Aldel Financial II Inc. Units,ALDFU | Aldel Financial II Inc. Units,Finance,Blank Checks
NASDAQ,ALDFW,Aldel Financial II Inc. Warrants,ALDFW | Aldel Financial II Inc. Warrants,,
NASDAQ,ALDX,Aldeyra Therapeutics Inc. Common Stock,ALDX | Aldeyra Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ALEC,Alector Inc. Common Stock,ALEC | Alector Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,ALF,Centurion Acquisition Corp. Class A Ordinary Shares,ALF | Centurion Acquisition Corp. Class A Ordinary Shares,,
NASDAQ,ALFUW,Centurion Acquisition Corp. Warrant,ALFUW | Centurion Acquisition Corp. Warrant,Finance,Blank Checks
NASDAQ,ALGM,Allegro MicroSystems Inc. Common Stock,ALGM | Allegro MicroSystems Inc. Common Stock,Technology,Semiconductors
NASDAQ,ALGN,Align Technology Inc. Common Stock,ALGN | Align Technology Inc. Common Stock,Health Care,Industrial Specialties
NASDAQ,ALGS,Aligos Therapeutics Inc. Common Stock,ALGS | Aligos Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,ALGT,Allegiant Travel Company Common Stock,ALGT | Allegiant Travel Company Common Stock,Consumer Discretionary,Air Freight/Delivery Services
NASDAQ,ALHC,Alignment Healthcare Inc. Common Stock,ALHC | Alignment Healthcare Inc. Common Stock,Health Care,Medical Specialities
NASDAQ,ALKS,Alkermes plc Ordinary Shares,ALKS | Alkermes plc Ordinary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ALKT,Alkami Technology Inc. Common Stock,ALKT | Alkami Technology Inc. Common Stock,Technology,Computer Software: Prepackaged Software
NASDAQ,ALLK,Allakos Inc. Common Stock,ALLK | Allakos Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ALLO,Allogene Therapeutics Inc. Common Stock,ALLO | Allogene Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,ALLR,Allarity Therapeutics Inc. Common Stock,ALLR | Allarity Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ALLT,Allot Ltd. Ordinary Shares,ALLT | Allot Ltd. Ordinary Shares,Telecommunications,Computer Communications Equipment
NASDAQ,ALMS,Alumis Inc. Common Stock,ALMS | Alumis Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ALMU,Aeluma Inc. Common Stock,ALMU | Aeluma Inc. Common Stock,Technology,Semiconductors
NASDAQ,ALNT,Allient Inc. Common Stock,ALNT | Allient Inc. Common Stock,Industrials,Electrical Products
NASDAQ,ALNY,Alnylam Pharmaceuticals Inc. Common Stock,ALNY | Alnylam Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ALOT,AstroNova Inc. Common Stock,ALOT | AstroNova Inc. Common Stock,Technology,Computer peripheral equipment
NASDAQ,ALRM,Alarm.com Holdings Inc. Common Stock,ALRM | Alarm.com Holdings Inc. Common Stock,Technology,Computer Software: Prepackaged Software
NASDAQ,ALRS,Alerus Financial Corporation Common Stock,ALRS | Alerus Financial Corporation Common Stock,Finance,Major Banks
NASDAQ,ALT,Altimmune Inc. Common Stock,ALT | Altimmune Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ALTI,AlTi Global Inc. Class A Common Stock,ALTI | AlTi Global Inc. Class A Common Stock,Finance,Investment Managers
NASDAQ,ALTO,Alto Ingredients Inc. Common Stock,ALTO | Alto Ingredients Inc. Common Stock,Industrials,Major Chemicals
NASDAQ,ALTS,ALT5 Sigma Corporation Common Stock,ALTS | ALT5 Sigma Corporation Common Stock,Consumer Discretionary,Home Furnishings
